Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)
1.054	0.0297229
1.055	0.0299706
1.056	0.0298872
1.057	0.0294583
1.058	0.0289752
1.059	0.0288766
1.06	0.0288766
1.061	0.0294517
1.062	0.0292759
1.063	0.0290188
1.064	0.0289349
1.065	0.029018
1.066	0.0294468
1.067	0.0296454
1.068	0.0297608
1.069	0.0294202
1.07	0.029421
1.071	0.029767
1.072	0.0301372
1.073	0.0301895
1.074	0.0300311
1.075	0.0298767
1.076	0.0299753
1.077	0.0303365
1.078	0.0306037
1.079	0.0303561
1.08	0.030027
1.081	0.0300538
1.082	0.0301434
1.083	0.0303004
1.084	0.0300249
1.085	0.0297516
1.086	0.0296391
1.087	0.0296095
1.088	0.0294046
1.089	0.0292828
1.09	0.0294646
1.091	0.0294991
1.092	0.0292683
1.093	0.0293438
1.094	0.029645
1.095	0.0298505
1.096	0.0298021
1.097	0.0296056
1.098	0.0296996
1.099	0.0299941
1.1	0.0304943
1.101	0.0304658
1.102	0.0299447
1.103	0.0296005
1.104	0.0296857
1.105	0.0299585
1.106	0.0301344
1.107	0.0298139
1.108	0.0292709
1.109	0.0289206
1.11	0.0291187
1.111	0.0294808
1.112	0.0293865
1.113	0.0287992
1.114	0.0283881
1.115	0.0285401
1.116	0.0289411
1.117	0.0293021
1.118	0.0290426
1.119	0.0286944
1.12	0.0286081
1.121	0.0292235
1.122	0.0301465
1.123	0.0304596
1.124	0.0302879
1.125	0.0299266
1.126	0.0300602
1.127	0.0305012
1.128	0.0308826
1.129	0.0307849
1.13	0.0303849
1.131	0.0300909
1.132	0.0305238
1.133	0.0305238
1.134	0.0307616
1.135	0.0304482
1.136	0.0299098
1.137	0.0297666
1.138	0.029744
1.139	0.0296948
1.14	0.0297321
1.141	0.0294705
1.142	0.0293481
1.143	0.0289714
1.144	0.0291767
1.145	0.0293238
1.146	0.0294465
1.147	0.0294442
1.148	0.0294442
1.149	0.0292503
1.15	0.0294556
1.151	0.0299142
1.152	0.0299142
1.153	0.0300077
1.154	0.0297212
1.155	0.029797
1.156	0.0302206
1.157	0.0306475
1.158	0.0306019
1.159	0.0303307
1.16	0.0298017
1.161	0.0299642
1.162	0.0308214
1.163	0.0308214
1.164	0.0305154
1.165	0.0296492
1.166	0.0292887
1.167	0.0295711
1.168	0.0302338
1.169	0.0305467
1.17	0.0298947
1.171	0.029148
1.172	0.0290898
1.173	0.0296866
1.174	0.0301165
1.175	0.0303985
1.176	0.0299361
1.177	0.0294449
1.178	0.0296241
1.179	0.0305994
1.18	0.0316073
1.181	0.0316061
1.182	0.0309609
1.183	0.0303382
1.184	0.0309335
1.185	0.0309335
1.186	0.0320284
1.187	0.0320284
1.188	0.0304109
1.189	0.0304109
1.19	0.0308363
1.191	0.0308363
1.192	0.0314044
1.193	0.0303889
1.194	0.0294897
1.195	0.0294897
1.196	0.0304391
1.197	0.0308584
1.198	0.0305845
