Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.582	0.0296271	
0.583	0.0300011	
0.584	0.0306103	
0.585	0.0307576	
0.586	0.0304444	
0.587	0.0299784	
0.588	0.0299605	
0.589	0.0304226	
0.590	0.0310219	
0.591	0.0310118	
0.592	0.030369	
0.593	0.0297363	
0.594	0.0298493	
0.595	0.030341	
0.596	0.0306706	
0.597	0.0304279	
0.598	0.0298978	
0.599	0.0296265	
0.600	0.0298341	
0.601	0.0300063	
0.602	0.0300354	
0.603	0.0297682	
0.604	0.0297314	
0.605	0.0300203	
0.606	0.0301946	
0.607	0.0301247	
0.608	0.0299055	
0.609	0.0298421	
0.610	0.0300761	
0.611	0.030382	
0.612	0.030525	
0.613	0.0303773	
0.614	0.0299814	
0.615	0.0296998	
0.616	0.0300206	
0.617	0.0304422	
0.618	0.0305369	
0.619	0.0302946	
0.620	0.0299454	
0.621	0.0297752	
0.622	0.0298575	
0.623	0.0301362	
0.624	0.0303203	
0.625	0.0303873	
0.626	0.0301187	
0.627	0.0295215	
0.628	0.0292805	
0.629	0.0297072	
0.630	0.0305733	
0.631	0.0307951	
0.632	0.0302088	
0.633	0.0291986	
0.634	0.0288136	
0.635	0.029676	
0.636	0.0306611	
0.637	0.0308643	
0.638	0.0300581	
0.639	0.0291665	
0.640	0.0291198	
0.641	0.0297603	
0.642	0.0303826	
0.643	0.0303263	
0.644	0.0298446	
0.645	0.0295203	
0.646	0.0297614	
0.647	0.0297614	
0.648	0.0301974	
0.649	0.0301974	
0.650	0.0297244	
0.651	0.029435	
0.652	0.0295709	
0.653	0.0298168	
0.654	0.0301646	
0.655	0.0301646	
0.656	0.0296968	
0.657	0.0296968	
0.658	0.0293929	
0.659	0.0293929	
0.660	0.0300822	
0.661	0.0300822	
0.662	0.0297535	
0.663	0.0297535	
0.664	0.0296721	
0.665	0.0296721	
0.666	0.0304407	
0.667	0.0304407	
0.668	0.029753	
0.669	0.029753	
0.670	0.0296914	
0.671	0.0296914	
0.672	0.030848	
0.673	0.0302041	
0.674	0.0293042	
0.675	0.0292839	
0.676	0.0298531	
0.677	0.0304541	
0.678	0.0304134	
0.679	0.0298389	
0.680	0.0295142	
0.681	0.029683	
0.682	0.0299658	
0.683	0.0296663	
0.684	0.029436	
0.685	0.0295802	
0.686	0.0299148	
0.687	0.029921	
0.688	0.0296203	
0.689	0.0293106	
0.690	0.029401	
0.691	0.0298974	
0.692	0.0303417	
0.693	0.0300104	
0.694	0.0294675	
0.695	0.0293432	
0.696	0.0298134	
0.697	0.0304316	
0.698	0.030393	
0.699	0.0296813	
0.700	0.0291663	
0.701	0.0294705	
0.702	0.0301665	
0.703	0.0303819	
0.704	0.0301684	
0.705	0.0297072	
0.706	0.0295119	
0.707	0.0297864	
0.708	0.030181	
0.709	0.0300349	
0.710	0.0298676	
0.711	0.0300304	
0.712	0.0302715	
0.713	0.030231	
0.714	0.0298363	
0.715	0.0299934	
0.716	0.0302962	
0.717	0.0306005	
0.718	0.0306473	
0.719	0.0303282	
0.720	0.0300426	
0.721	0.029908	
0.722	0.030227	
0.723	0.0303945	
0.724	0.0303635	
0.725	0.0300405	
0.726	0.0297596	
0.727	0.0296282	
0.728	0.0300715	
0.729	0.0302952	
0.730	0.0301991	
0.731	0.0297311	
0.732	0.0294016	
