Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.562	0.0321005	
0.563	0.0324643	
0.564	0.0323745	
0.565	0.0323342	
0.566	0.032567	
0.567	0.0330364	
0.568	0.032977	
0.569	0.0328136	
0.570	0.0326086	
0.571	0.0324595	
0.572	0.0324922	
0.573	0.0324566	
0.574	0.0321732	
0.575	0.0318534	
0.576	0.0316206	
0.577	0.0316126	
0.578	0.0315949	
0.579	0.0314378	
0.580	0.0311564	
0.581	0.0311469	
0.582	0.0314299	
0.583	0.0317062	
0.584	0.0319619	
0.585	0.0321252	
0.586	0.0321433	
0.587	0.0324182	
0.588	0.0326348	
0.589	0.0329834	
0.590	0.0329732	
0.591	0.0328895	
0.592	0.0329848	
0.593	0.0331745	
0.594	0.0334604	
0.595	0.0334612	
0.596	0.0332653	
0.597	0.0330864	
0.598	0.0330715	
0.599	0.0331463	
0.600	0.0329014	
0.601	0.0325881	
0.602	0.0322505	
0.603	0.0320041	
0.604	0.0319886	
0.605	0.0318605	
0.606	0.031739	
0.607	0.0315758	
0.608	0.0315147	
0.609	0.0315711	
0.610	0.0318135	
0.611	0.0319057	
0.612	0.0319186	
0.613	0.031896	
0.614	0.0323012	
0.615	0.0326063	
0.616	0.0326372	
0.617	0.0327075	
0.618	0.0327267	
0.619	0.0331436	
0.620	0.0331672	
0.621	0.0331852	
0.622	0.0329171	
0.623	0.0326876	
0.624	0.0326767	
0.625	0.0325977	
0.626	0.0323242	
0.627	0.0317787	
0.628	0.0314418	
0.629	0.0312515	
0.630	0.0309418	
0.631	0.030099	
0.632	0.029747	
0.633	0.0296361	
0.634	0.0297965	
0.635	0.0298042	
0.636	0.0296504	
0.637	0.0295908	
0.638	0.0297343	
0.639	0.0301469	
0.640	0.0303426	
0.641	0.0303931	
0.642	0.0302598	
0.643	0.0303163	
0.644	0.0303888	
0.645	0.0305668	
0.646	0.0305649	
0.647	0.0305649	
0.648	0.0302043	
0.649	0.0300106	
0.650	0.0300106	
0.651	0.0297804	
0.652	0.0294166	
0.653	0.0290879	
0.654	0.028531	
0.655	0.0282081	
0.656	0.0282539	
0.657	0.0280456	
0.658	0.0275879	
0.659	0.0272213	
0.660	0.0269933	
0.661	0.026824	
0.662	0.0269417	
0.663	0.0268806	
0.664	0.0270147	
0.665	0.0272407	
0.666	0.0274294	
0.667	0.0274599	
0.668	0.0273643	
0.669	0.0276144	
0.670	0.0277269	
0.671	0.0277738	
0.672	0.0278033	
0.673	0.0276371	
0.674	0.0275987	
0.675	0.0277209	
0.676	0.0277992	
0.677	0.0276312	
0.678	0.0274194	
0.679	0.0273373	
0.680	0.0271084	
0.681	0.0271084	
0.682	0.0268871	
0.683	0.0265519	
0.684	0.0262195	
0.685	0.026083	
0.686	0.0260276	
0.687	0.0258323	
0.688	0.025527	
0.689	0.0253853	
0.690	0.0253805	
0.691	0.0251921	
0.692	0.0252549	
0.693	0.0253794	
0.694	0.025522	
0.695	0.0256114	
0.696	0.0257323	
0.697	0.026002	
0.698	0.0264438	
0.699	0.0268096	
0.700	0.0270858	
0.701	0.027357	
0.702	0.0276758	
0.703	0.0280689	
0.704	0.0283188	
0.705	0.028628	
0.706	0.0288862	
0.707	0.0291966	
0.708	0.0292839	
0.709	0.0293384	
0.710	0.0292485	
0.711	0.0291331	
0.712	0.0290527	
0.713	0.0291195	
0.714	0.0288792	
0.715	0.0285481	
0.716	0.0283182	
0.717	0.0280473	
0.718	0.0279201	
0.719	0.0275746	
0.720	0.0271172	
0.721	0.0268991	
0.722	0.026579	
0.723	0.0262893	
0.724	0.0261456	
0.725	0.0263809	
0.726	0.0266307	
0.727	0.026671	
0.728	0.0267618	
0.729	0.0269538	
0.730	0.027702	
0.731	0.027702	
0.732	0.0278023	
0.733	0.0278023	
0.734	0.0279586	
0.735	0.0279586	
0.736	0.0285695	
0.737	0.0284209	
0.738	0.028009	
0.739	0.028009	
0.740	0.0279051	
0.741	0.0280304	
0.742	0.0278527	
0.743	0.0275978	
0.744	0.0271463	
0.745	0.0267533	
0.746	0.0267815	
0.747	0.0267815	
0.748	0.0267433	
0.749	0.0264252	
0.750	0.0260572	
0.751	0.0258754	
0.752	0.0258741	
